Instance 	 p 	 q 
23 	 [57, 76, 53, 78, 97, 44, 73, 88, 68, 14, 28, 16, 100, 96, 9, 42, 91, 65, 64, 70, 79, 20, 51, 64, 4, 34, 13, 24, 9, 34, 42, 2, 92, 29, 11, 35, 26, 22, 66, 73, 96, 78, 64, 47, 94, 24, 8, 28, 93, 33, 87, 37, 73, 4, 54, 54, 88, 83, 21, 86, 50, 29, 100, 43, 41, 24, 71, 50, 26, 71, 91, 36, 74, 29, 89, 33, 48, 67, 68, 17, 36, 20, 56, 2, 46, 18, 71, 64, 19, 78, 96, 39, 90, 65, 41, 41, 57, 92, 76, 13] 	 [89, 9, 33, 41, 99, 9, 34, 28, 75, 17, 47, 31, 2, 85, 53, 77, 77, 81, 79, 19, 76, 67, 25, 40, 16, 16, 80, 99, 60, 63, 7, 20, 53, 31, 21, 85, 47, 26, 59, 64, 26, 98, 9, 49, 68, 17, 100, 64, 89, 62, 8, 63, 68, 39, 84, 50, 50, 49, 85, 9, 76, 79, 37, 70, 28, 34, 94, 84, 63, 77, 66, 28, 82, 28, 34, 87, 59, 48, 89, 70, 78, 73, 95, 28, 100, 16, 50, 41, 12, 19, 86, 44, 55, 49, 64, 14, 24, 35, 54, 33] 
24 	 [89, 93, 64, 17, 58, 47, 24, 35, 11, 31, 64, 10, 92, 6, 57, 41, 4, 2, 51, 63, 48, 85, 56, 32, 70, 66, 17, 3, 80, 72, 100, 76, 56, 84, 24, 63, 42, 59, 53, 2, 78, 38, 65, 67, 73, 41, 75, 33, 55, 7, 76, 92, 15, 24, 44, 33, 65, 91, 76, 44, 41, 80, 36, 54, 63, 38, 96, 4, 12, 11, 34, 70, 25, 8, 23, 94, 55, 47, 86, 7, 18, 98, 98, 6, 60, 28, 79, 51, 88, 56, 80, 1, 8, 26, 66, 84, 4, 26, 95, 86] 	 [55, 97, 87, 7, 49, 33, 58, 33, 22, 73, 68, 93, 79, 40, 34, 46, 63, 81, 78, 24, 60, 97, 8, 86, 73, 10, 4, 72, 48, 64, 63, 71, 89, 32, 58, 64, 18, 4, 54, 10, 86, 5, 25, 12, 57, 70, 40, 80, 22, 14, 8, 90, 89, 78, 37, 82, 5, 70, 79, 11, 20, 56, 54, 23, 24, 92, 55, 60, 22, 78, 57, 10, 18, 25, 76, 80, 75, 85, 11, 3, 96, 72, 39, 11, 37, 14, 66, 76, 76, 99, 77, 11, 26, 44, 87, 62, 21, 95, 7, 63] 
25 	 [86, 41, 91, 9, 65, 4, 9, 59, 96, 61, 11, 98, 4, 26, 90, 69, 15, 92, 17, 65, 36, 85, 87, 55, 42, 70, 75, 12, 6, 73, 88, 24, 60, 29, 44, 70, 26, 53, 63, 36, 93, 28, 95, 52, 25, 26, 81, 9, 36, 87, 91, 4, 89, 60, 3, 41, 45, 27, 19, 41, 52, 19, 56, 20, 4, 65, 96, 31, 9, 58, 3, 3, 25, 27, 64, 12, 8, 77, 48, 47, 67, 98, 6, 28, 41, 20, 68, 49, 96, 63, 69, 94, 37, 4, 7, 98, 74, 24, 23, 100] 	 [12, 60, 12, 26, 62, 63, 46, 52, 41, 43, 14, 55, 16, 45, 50, 32, 35, 51, 20, 49, 69, 14, 88, 6, 39, 19, 54, 27, 56, 9, 82, 24, 39, 30, 19, 26, 40, 81, 54, 18, 66, 61, 94, 87, 97, 20, 38, 11, 40, 51, 84, 77, 26, 55, 24, 12, 83, 77, 63, 57, 42, 58, 2, 53, 52, 38, 26, 84, 16, 83, 34, 76, 8, 52, 89, 34, 73, 76, 83, 18, 8, 26, 39, 69, 66, 87, 76, 98, 15, 75, 3, 22, 19, 27, 29, 55, 11, 71, 36, 4] 
26 	 [51, 94, 87, 58, 29, 3, 29, 67, 74, 26, 36, 81, 79, 55, 85, 50, 47, 9, 54, 67, 61, 51, 18, 22, 33, 66, 52, 29, 41, 76, 2, 75, 25, 29, 56, 91, 6, 56, 23, 44, 72, 59, 37, 90, 2, 65, 75, 36, 97, 10, 92, 82, 63, 78, 64, 92, 50, 47, 53, 67, 76, 12, 17, 93, 9, 84, 83, 45, 62, 23, 9, 67, 45, 60, 15, 72, 9, 2, 42, 6, 34, 64, 82, 20, 99, 28, 12, 34, 57, 69, 63, 55, 38, 1, 49, 56, 59, 61, 84, 30] 	 [49, 32, 44, 41, 10, 34, 95, 73, 5, 92, 67, 56, 97, 51, 27, 66, 56, 76, 90, 73, 18, 58, 22, 55, 21, 21, 34, 42, 21, 76, 37, 14, 33, 73, 94, 95, 30, 66, 95, 22, 62, 60, 73, 3, 53, 85, 53, 52, 76, 46, 71, 69, 16, 22, 77, 40, 69, 71, 43, 79, 16, 90, 89, 73, 27, 21, 14, 46, 33, 61, 89, 21, 82, 6, 88, 29, 33, 9, 40, 35, 88, 83, 80, 84, 15, 24, 44, 66, 60, 3, 35, 20, 50, 54, 20, 38, 11, 1, 29, 79] 
27 	 [63, 24, 90, 26, 54, 4, 29, 96, 71, 39, 14, 4, 67, 37, 81, 63, 46, 65, 9, 53, 23, 6, 46, 37, 16, 40, 52, 40, 18, 49, 49, 83, 55, 8, 3, 77, 99, 93, 11, 21, 50, 31, 99, 93, 87, 96, 8, 70, 20, 14, 10, 54, 51, 11, 91, 62, 8, 100, 76, 11, 92, 10, 76, 70, 31, 43, 44, 95, 38, 63, 13, 63, 66, 44, 73, 75, 30, 35, 43, 59, 57, 39, 97, 66, 54, 82, 100, 92, 62, 86, 46, 52, 33, 86, 80, 81, 46, 47, 3, 94] 	 [27, 58, 90, 72, 37, 82, 62, 34, 23, 13, 97, 93, 79, 80, 53, 10, 98, 77, 42, 2, 67, 98, 42, 33, 77, 82, 90, 10, 26, 36, 90, 4, 1, 24, 7, 87, 67, 28, 28, 32, 36, 45, 61, 14, 98, 11, 58, 57, 99, 73, 99, 75, 57, 98, 63, 56, 87, 88, 4, 68, 59, 96, 23, 34, 53, 89, 37, 60, 99, 11, 13, 59, 88, 22, 94, 57, 41, 19, 74, 98, 53, 25, 94, 14, 62, 52, 47, 70, 56, 67, 14, 77, 42, 57, 91, 4, 59, 60, 71, 31] 
28 	 [72, 92, 62, 71, 59, 11, 43, 44, 21, 95, 88, 33, 19, 46, 97, 17, 19, 35, 38, 49, 56, 51, 59, 57, 97, 37, 52, 79, 39, 46, 4, 27, 64, 9, 5, 47, 43, 67, 63, 32, 42, 97, 66, 28, 76, 75, 5, 52, 53, 73, 81, 47, 86, 87, 62, 73, 96, 71, 94, 57, 94, 7, 72, 30, 40, 53, 97, 86, 18, 95, 50, 99, 18, 81, 74, 94, 8, 78, 88, 45, 72, 77, 78, 86, 78, 92, 11, 75, 97, 53, 61, 31, 41, 81, 12, 3, 63, 14, 7, 5] 	 [92, 78, 89, 47, 69, 32, 15, 83, 30, 52, 71, 59, 78, 6, 6, 31, 60, 79, 94, 5, 99, 14, 86, 16, 87, 10, 69, 19, 82, 61, 60, 92, 5, 61, 88, 26, 10, 98, 7, 73, 92, 26, 19, 83, 87, 74, 4, 45, 70, 7, 67, 61, 67, 28, 52, 35, 76, 88, 2, 98, 84, 43, 28, 53, 42, 35, 31, 55, 56, 59, 64, 38, 74, 94, 26, 3, 58, 85, 91, 74, 24, 64, 24, 76, 30, 57, 97, 72, 50, 40, 100, 84, 14, 57, 95, 10, 63, 43, 6, 37] 
29 	 [90, 69, 67, 25, 49, 60, 99, 30, 45, 46, 49, 81, 16, 8, 46, 85, 93, 76, 96, 65, 70, 6, 92, 72, 10, 2, 98, 77, 66, 48, 7, 41, 69, 77, 38, 10, 13, 66, 84, 27, 23, 76, 48, 22, 41, 11, 76, 2, 99, 82, 11, 86, 80, 28, 80, 6, 78, 31, 15, 41, 26, 29, 13, 76, 36, 72, 47, 75, 33, 78, 19, 71, 87, 7, 76, 99, 43, 61, 51, 64, 1, 64, 77, 92, 59, 51, 56, 51, 58, 11, 2, 14, 55, 41, 77, 36, 36, 67, 9, 41] 	 [52, 49, 22, 11, 64, 62, 1, 36, 22, 42, 55, 71, 61, 22, 84, 25, 69, 44, 26, 10, 69, 100, 93, 79, 86, 35, 84, 71, 28, 10, 38, 62, 50, 76, 34, 17, 91, 54, 82, 16, 45, 62, 56, 41, 28, 43, 30, 18, 93, 67, 82, 39, 92, 84, 54, 12, 100, 60, 51, 42, 29, 29, 70, 7, 64, 4, 26, 8, 88, 51, 75, 92, 38, 3, 81, 30, 94, 100, 66, 6, 47, 40, 78, 35, 99, 68, 38, 8, 34, 77, 18, 41, 98, 73, 7, 58, 99, 81, 35, 18] 
30 	 [76, 36, 2, 97, 38, 50, 25, 40, 51, 93, 34, 11, 77, 17, 67, 97, 26, 63, 11, 11, 89, 74, 86, 46, 98, 100, 55, 71, 1, 53, 4, 69, 8, 58, 90, 75, 95, 46, 59, 72, 3, 36, 33, 8, 12, 96, 23, 5, 43, 95, 51, 95, 14, 91, 8, 23, 66, 65, 62, 11, 40, 36, 52, 61, 81, 33, 72, 79, 16, 87, 10, 12, 6, 85, 81, 16, 81, 72, 23, 81, 58, 58, 13, 40, 96, 67, 39, 11, 27, 61, 97, 88, 81, 100, 6, 23, 54, 50, 62, 52] 	 [100, 66, 63, 2, 68, 16, 32, 60, 93, 70, 42, 73, 62, 21, 34, 100, 58, 93, 54, 78, 30, 32, 89, 25, 56, 32, 33, 29, 59, 58, 35, 83, 74, 32, 51, 38, 48, 84, 93, 21, 1, 25, 90, 11, 10, 82, 77, 95, 35, 27, 63, 7, 8, 67, 67, 19, 12, 75, 11, 28, 23, 2, 86, 98, 5, 70, 16, 10, 81, 3, 31, 56, 77, 23, 28, 26, 57, 70, 64, 59, 72, 89, 38, 41, 71, 48, 37, 95, 16, 20, 68, 58, 18, 65, 15, 29, 49, 4, 82, 2] 
31 	 [3, 8, 13, 31, 62, 15, 22, 62, 77, 49, 81, 40, 5, 63, 93, 94, 79, 11, 76, 40, 20, 96, 89, 65, 33, 87, 44, 68, 72, 79, 95, 63, 27, 75, 72, 61, 26, 63, 93, 37, 66, 36, 57, 92, 73, 68, 74, 49, 2, 46, 72, 86, 9, 27, 30, 37, 29, 48, 66, 42, 60, 66, 17, 74, 82, 2, 68, 14, 13, 88, 6, 63, 32, 68, 69, 65, 2, 63, 18, 29, 49, 34, 56, 55, 52, 68, 100, 31, 33, 40, 70, 80, 40, 1, 45, 63, 55, 47, 31, 43] 	 [32, 97, 58, 52, 70, 37, 21, 54, 29, 41, 50, 57, 35, 36, 60, 28, 42, 85, 28, 87, 4, 43, 99, 44, 9, 68, 11, 82, 24, 60, 34, 98, 60, 98, 97, 9, 44, 56, 36, 81, 82, 66, 28, 39, 19, 43, 86, 99, 26, 93, 33, 77, 8, 51, 41, 3, 84, 100, 32, 66, 17, 14, 88, 61, 54, 67, 3, 85, 73, 43, 41, 76, 13, 40, 97, 54, 14, 39, 31, 35, 67, 41, 80, 22, 5, 56, 7, 49, 3, 5, 96, 93, 73, 80, 58, 74, 66, 80, 1, 62] 
32 	 [25, 45, 59, 31, 64, 83, 93, 2, 45, 40, 93, 76, 6, 30, 45, 75, 30, 31, 95, 85, 47, 43, 65, 12, 6, 17, 65, 24, 25, 44, 87, 21, 46, 86, 63, 35, 89, 5, 94, 88, 73, 85, 13, 17, 52, 97, 39, 78, 23, 37, 38, 38, 92, 18, 1, 92, 59, 19, 24, 15, 60, 23, 41, 35, 98, 67, 57, 33, 79, 21, 29, 23, 36, 34, 49, 11, 22, 29, 48, 49, 63, 82, 26, 40, 52, 81, 58, 96, 58, 31, 41, 56, 100, 86, 69, 96, 16, 94, 86, 26] 	 [97, 70, 71, 58, 19, 96, 55, 100, 96, 6, 7, 89, 97, 39, 48, 67, 22, 45, 29, 59, 30, 75, 21, 75, 77, 91, 3, 38, 31, 6, 79, 10, 55, 82, 89, 49, 50, 66, 54, 27, 49, 51, 63, 75, 40, 57, 22, 53, 68, 31, 78, 54, 69, 87, 11, 90, 45, 96, 43, 86, 9, 28, 60, 97, 54, 71, 15, 22, 89, 70, 64, 49, 19, 74, 23, 92, 46, 61, 48, 83, 7, 32, 67, 46, 12, 95, 58, 68, 45, 15, 76, 59, 86, 28, 67, 40, 81, 3, 26, 77] 
33 	 [11, 60, 74, 95, 51, 97, 92, 38, 46, 86, 85, 22, 11, 36, 78, 16, 90, 73, 84, 16, 36, 1, 34, 5, 36, 81, 14, 72, 44, 55, 60, 79, 86, 18, 72, 78, 4, 53, 13, 99, 18, 69, 38, 98, 32, 70, 61, 31, 57, 78, 91, 96, 77, 92, 100, 86, 24, 57, 54, 48, 97, 88, 95, 91, 66, 86, 82, 66, 29, 80, 61, 99, 74, 19, 36, 31, 97, 41, 24, 46, 3, 95, 46, 26, 78, 15, 43, 4, 20, 22, 98, 93, 19, 32, 40, 62, 65, 68, 100, 14] 	 [55, 62, 38, 14, 53, 63, 76, 12, 51, 98, 66, 56, 90, 27, 35, 63, 94, 43, 85, 44, 1, 42, 7, 18, 26, 64, 16, 40, 10, 32, 8, 51, 37, 34, 53, 97, 13, 87, 80, 60, 53, 28, 43, 57, 24, 80, 71, 23, 54, 83, 58, 8, 12, 21, 84, 41, 23, 72, 31, 91, 34, 65, 16, 69, 80, 19, 36, 53, 32, 44, 9, 81, 31, 68, 62, 56, 94, 1, 44, 8, 71, 47, 1, 75, 4, 76, 48, 29, 5, 81, 57, 10, 78, 63, 21, 7, 91, 85, 25, 100] 
34 	 [92, 62, 81, 21, 82, 71, 58, 78, 54, 98, 29, 13, 11, 1, 21, 6, 90, 21, 43, 88, 80, 6, 53, 69, 10, 4, 40, 45, 15, 70, 74, 64, 33, 52, 74, 5, 61, 4, 7, 18, 1, 31, 37, 26, 89, 19, 28, 25, 83, 97, 42, 29, 6, 85, 22, 46, 11, 60, 59, 22, 15, 63, 39, 63, 10, 29, 7, 68, 75, 78, 16, 82, 99, 48, 56, 55, 65, 41, 95, 87, 13, 32, 16, 49, 67, 78, 3, 63, 76, 5, 22, 15, 32, 52, 44, 2, 10, 47, 81, 52] 	 [38, 62, 83, 56, 68, 73, 69, 72, 75, 87, 77, 62, 84, 31, 68, 36, 31, 39, 10, 3, 3, 97, 50, 35, 51, 2, 37, 21, 34, 53, 53, 51, 83, 14, 100, 71, 4, 56, 6, 31, 86, 62, 37, 53, 13, 66, 50, 63, 59, 70, 87, 44, 48, 5, 98, 4, 7, 28, 41, 64, 29, 30, 44, 28, 90, 22, 32, 25, 53, 41, 98, 4, 2, 19, 37, 2, 94, 83, 40, 18, 19, 29, 41, 17, 33, 66, 71, 52, 17, 94, 100, 76, 74, 33, 46, 24, 44, 50, 11, 15] 
35 	 [21, 10, 24, 25, 61, 29, 61, 8, 31, 20, 22, 68, 45, 60, 6, 18, 39, 66, 45, 10, 63, 11, 2, 28, 14, 79, 1, 14, 32, 71, 30, 7, 94, 94, 19, 45, 64, 86, 40, 26, 75, 67, 17, 17, 79, 83, 86, 31, 48, 55, 52, 50, 97, 100, 11, 38, 100, 52, 51, 14, 20, 54, 83, 100, 18, 71, 20, 35, 56, 94, 39, 61, 62, 57, 46, 33, 47, 2, 1, 32, 17, 94, 31, 79, 60, 97, 62, 53, 95, 87, 15, 38, 31, 14, 52, 100, 41, 74, 97, 23] 	 [22, 73, 32, 83, 48, 58, 23, 76, 77, 22, 90, 64, 1, 67, 31, 42, 82, 24, 30, 58, 48, 61, 12, 57, 69, 85, 12, 54, 73, 37, 28, 42, 52, 97, 95, 33, 94, 48, 6, 38, 66, 10, 79, 65, 32, 21, 91, 53, 4, 30, 22, 93, 40, 12, 78, 67, 59, 57, 53, 14, 50, 22, 69, 69, 15, 7, 18, 12, 94, 2, 73, 13, 99, 85, 5, 34, 77, 90, 42, 36, 84, 66, 5, 3, 41, 56, 90, 38, 9, 20, 65, 54, 75, 57, 8, 100, 11, 12, 56, 61] 
36 	 [17, 72, 59, 1, 49, 56, 78, 97, 96, 42, 94, 42, 17, 82, 40, 33, 47, 89, 100, 95, 15, 50, 86, 38, 52, 81, 21, 10, 22, 19, 92, 57, 18, 67, 13, 14, 15, 37, 69, 96, 63, 3, 18, 89, 47, 66, 64, 87, 90, 1, 8, 70, 12, 53, 43, 82, 7, 10, 44, 5, 47, 11, 1, 77, 10, 78, 21, 24, 54, 14, 94, 65, 35, 27, 95, 73, 29, 54, 51, 90, 91, 66, 46, 47, 67, 38, 86, 22, 57, 80, 25, 9, 24, 74, 14, 33, 74, 81, 71, 3] 	 [86, 37, 8, 85, 28, 68, 7, 11, 51, 63, 64, 35, 53, 38, 5, 35, 56, 48, 34, 78, 70, 87, 30, 78, 76, 65, 40, 47, 55, 36, 30, 95, 90, 61, 91, 38, 51, 69, 41, 13, 86, 37, 95, 53, 8, 24, 84, 65, 19, 88, 83, 92, 7, 47, 46, 71, 94, 37, 41, 68, 35, 63, 70, 89, 62, 26, 98, 28, 16, 36, 5, 65, 37, 71, 39, 58, 45, 18, 15, 92, 77, 50, 1, 89, 19, 41, 27, 21, 100, 74, 28, 82, 78, 8, 43, 72, 79, 1, 37, 18] 
37 	 [70, 54, 33, 78, 1, 42, 45, 41, 4, 47, 80, 12, 83, 74, 25, 57, 77, 94, 66, 51, 86, 42, 74, 19, 35, 77, 8, 89, 14, 72, 37, 87, 37, 60, 46, 79, 74, 40, 87, 99, 2, 50, 85, 28, 92, 27, 54, 71, 53, 17, 37, 98, 91, 97, 18, 35, 89, 41, 98, 16, 14, 77, 51, 5, 8, 40, 18, 9, 65, 28, 88, 6, 29, 58, 32, 45, 82, 50, 33, 29, 24, 64, 19, 39, 50, 42, 19, 2, 96, 99, 73, 33, 77, 48, 47, 45, 21, 45, 46, 4] 	 [97, 10, 90, 76, 1, 71, 15, 79, 23, 2, 79, 28, 82, 43, 18, 33, 100, 28, 13, 72, 45, 84, 57, 94, 88, 89, 40, 65, 75, 5, 29, 17, 38, 63, 32, 74, 15, 62, 59, 18, 49, 97, 21, 37, 36, 3, 18, 100, 25, 43, 27, 22, 28, 71, 21, 3, 36, 92, 15, 75, 22, 83, 65, 44, 38, 71, 47, 51, 97, 49, 55, 47, 17, 17, 36, 67, 4, 41, 56, 16, 39, 3, 81, 31, 55, 81, 60, 72, 8, 18, 55, 60, 67, 51, 91, 34, 88, 14, 16, 53] 
38 	 [85, 46, 67, 89, 49, 76, 95, 28, 5, 26, 66, 45, 61, 74, 78, 93, 95, 51, 9, 52, 60, 68, 57, 43, 32, 36, 16, 94, 48, 75, 99, 88, 36, 92, 35, 41, 12, 95, 8, 79, 55, 24, 51, 89, 43, 64, 29, 81, 7, 68, 28, 18, 66, 32, 32, 47, 82, 50, 23, 63, 69, 22, 92, 66, 76, 76, 36, 40, 23, 5, 61, 19, 56, 10, 69, 15, 98, 78, 100, 11, 35, 30, 73, 12, 75, 31, 70, 26, 29, 71, 23, 19, 93, 56, 38, 19, 73, 74, 22, 65] 	 [8, 98, 96, 3, 99, 99, 37, 81, 14, 53, 37, 37, 8, 59, 5, 82, 34, 90, 56, 6, 79, 90, 79, 43, 38, 91, 34, 63, 65, 7, 88, 46, 8, 79, 44, 55, 89, 14, 63, 99, 5, 94, 41, 79, 61, 46, 49, 49, 17, 78, 14, 33, 80, 70, 70, 77, 2, 47, 86, 54, 81, 95, 38, 82, 96, 9, 1, 84, 40, 68, 65, 48, 16, 12, 37, 83, 31, 64, 85, 68, 99, 19, 40, 22, 23, 51, 3, 45, 84, 84, 41, 6, 16, 15, 77, 66, 11, 10, 45, 58] 
39 	 [32, 2, 15, 45, 61, 98, 28, 81, 37, 58, 52, 26, 34, 14, 88, 99, 26, 80, 23, 62, 85, 62, 74, 39, 81, 32, 53, 72, 46, 27, 32, 80, 97, 66, 90, 38, 75, 13, 39, 7, 95, 12, 76, 6, 56, 88, 36, 2, 13, 70, 79, 32, 60, 32, 64, 5, 46, 22, 10, 43, 41, 91, 66, 52, 72, 16, 84, 7, 21, 21, 55, 75, 18, 69, 18, 79, 55, 44, 99, 33, 97, 26, 93, 55, 3, 7, 60, 43, 40, 63, 66, 39, 32, 14, 82, 35, 84, 72, 37, 35] 	 [66, 12, 14, 37, 39, 65, 96, 46, 17, 94, 79, 52, 48, 65, 66, 84, 97, 3, 61, 83, 30, 38, 99, 64, 38, 61, 4, 66, 17, 54, 31, 29, 37, 59, 97, 29, 41, 94, 14, 66, 36, 21, 88, 83, 38, 1, 41, 56, 20, 87, 60, 71, 27, 8, 68, 91, 24, 35, 14, 50, 59, 79, 59, 6, 32, 53, 23, 31, 31, 48, 75, 85, 51, 37, 8, 29, 69, 11, 4, 95, 35, 55, 15, 33, 51, 26, 82, 76, 57, 13, 60, 59, 16, 67, 32, 96, 82, 8, 95, 29] 
40 	 [72, 92, 5, 1, 23, 32, 55, 67, 100, 96, 19, 48, 89, 52, 77, 77, 5, 100, 66, 27, 98, 31, 37, 27, 15, 90, 20, 95, 35, 58, 93, 26, 88, 83, 22, 55, 7, 42, 31, 57, 54, 84, 50, 9, 73, 42, 64, 8, 98, 80, 15, 65, 50, 6, 97, 94, 76, 62, 84, 47, 4, 20, 67, 61, 51, 13, 98, 27, 32, 64, 60, 38, 47, 39, 40, 12, 49, 23, 7, 66, 25, 72, 63, 45, 13, 91, 9, 64, 13, 35, 60, 18, 67, 91, 47, 60, 41, 32, 77, 27] 	 [30, 27, 94, 67, 34, 99, 38, 63, 17, 69, 41, 78, 28, 68, 86, 21, 99, 36, 86, 26, 6, 1, 60, 49, 72, 47, 5, 86, 17, 82, 97, 84, 54, 95, 2, 73, 96, 40, 72, 53, 43, 70, 2, 34, 33, 36, 34, 76, 74, 8, 16, 70, 9, 54, 97, 28, 78, 40, 76, 92, 60, 80, 24, 38, 82, 37, 31, 26, 75, 88, 2, 40, 57, 54, 43, 1, 26, 74, 59, 89, 74, 48, 54, 57, 76, 44, 7, 76, 60, 9, 78, 12, 65, 98, 85, 23, 96, 9, 38, 52] 
41 	 [87, 9, 73, 57, 22, 84, 58, 99, 32, 33, 32, 97, 73, 59, 34, 96, 50, 56, 45, 96, 6, 74, 23, 100, 38, 87, 29, 52, 41, 2, 37, 76, 3, 63, 5, 98, 96, 100, 89, 2, 21, 27, 1, 56, 45, 65, 75, 76, 32, 89, 65, 77, 44, 76, 11, 11, 8, 15, 86, 2, 61, 53, 23, 99, 37, 76, 66, 99, 14, 20, 80, 8, 33, 100, 33, 47, 58, 85, 20, 79, 27, 11, 70, 52, 8, 44, 93, 78, 35, 6, 60, 94, 80, 11, 10, 38, 75, 89, 4, 46] 	 [56, 44, 89, 95, 48, 60, 55, 59, 5, 59, 4, 6, 38, 84, 59, 13, 44, 10, 72, 46, 67, 94, 96, 43, 5, 99, 76, 74, 52, 50, 35, 56, 22, 76, 76, 71, 88, 33, 19, 95, 48, 78, 31, 24, 31, 51, 8, 46, 33, 87, 97, 92, 50, 96, 7, 66, 8, 25, 34, 90, 81, 73, 42, 80, 89, 100, 21, 73, 61, 87, 60, 56, 59, 24, 33, 53, 40, 70, 42, 79, 22, 13, 43, 47, 8, 68, 82, 73, 100, 50, 46, 19, 62, 79, 94, 75, 7, 1, 86, 75] 
42 	 [85, 53, 5, 46, 60, 15, 22, 42, 17, 82, 20, 9, 69, 38, 84, 53, 77, 4, 37, 88, 97, 84, 76, 32, 89, 81, 39, 2, 18, 67, 97, 39, 40, 10, 94, 10, 15, 96, 54, 58, 93, 40, 39, 96, 64, 99, 84, 9, 33, 67, 40, 66, 67, 76, 66, 89, 95, 62, 21, 96, 71, 49, 34, 97, 67, 68, 24, 3, 30, 78, 75, 36, 67, 78, 79, 67, 93, 57, 28, 21, 77, 95, 96, 87, 40, 3, 54, 50, 76, 25, 13, 90, 76, 86, 29, 67, 84, 11, 60, 29] 	 [95, 86, 97, 81, 57, 10, 43, 12, 75, 23, 65, 26, 20, 48, 40, 76, 86, 4, 92, 73, 87, 89, 5, 64, 86, 45, 19, 18, 74, 86, 96, 46, 45, 97, 19, 26, 8, 86, 75, 42, 39, 16, 91, 85, 67, 48, 27, 44, 53, 30, 89, 48, 100, 93, 88, 72, 31, 46, 19, 58, 65, 15, 16, 44, 29, 61, 23, 3, 89, 27, 67, 51, 18, 40, 63, 27, 50, 75, 15, 92, 79, 91, 8, 22, 8, 7, 13, 39, 70, 81, 3, 77, 32, 29, 91, 1, 53, 28, 28, 10] 
43 	 [13, 43, 8, 57, 4, 58, 71, 66, 3, 17, 11, 53, 61, 72, 86, 21, 99, 20, 83, 33, 88, 22, 13, 78, 100, 10, 86, 19, 69, 32, 62, 92, 48, 70, 63, 34, 51, 12, 30, 59, 89, 25, 13, 46, 50, 35, 15, 21, 49, 5, 69, 89, 78, 47, 1, 22, 43, 31, 100, 68, 50, 6, 56, 85, 83, 72, 92, 97, 78, 48, 84, 55, 20, 51, 96, 88, 15, 78, 8, 66, 56, 48, 20, 23, 4, 19, 7, 42, 98, 41, 82, 46, 39, 74, 5, 29, 10, 47, 12, 9] 	 [65, 89, 86, 60, 4, 92, 64, 89, 90, 3, 96, 51, 1, 24, 98, 66, 66, 37, 28, 2, 6, 61, 83, 73, 63, 51, 87, 33, 24, 77, 92, 30, 56, 30, 65, 49, 81, 33, 50, 98, 85, 51, 36, 72, 3, 23, 32, 6, 36, 49, 81, 80, 91, 93, 100, 85, 74, 54, 88, 40, 91, 6, 24, 91, 87, 81, 57, 93, 53, 57, 7, 49, 88, 67, 32, 50, 89, 20, 50, 65, 38, 29, 49, 64, 49, 30, 46, 29, 18, 21, 58, 26, 82, 38, 90, 2, 29, 91, 93, 92] 
44 	 [22, 82, 56, 55, 86, 64, 28, 74, 50, 87, 65, 5, 71, 97, 73, 97, 41, 47, 27, 59, 78, 31, 12, 91, 54, 75, 79, 56, 96, 17, 58, 70, 87, 25, 91, 89, 64, 96, 38, 99, 65, 19, 53, 5, 17, 18, 79, 13, 13, 49, 62, 1, 85, 21, 21, 99, 63, 73, 95, 24, 59, 26, 97, 98, 63, 22, 39, 99, 81, 19, 53, 72, 52, 78, 80, 23, 61, 89, 34, 72, 69, 16, 78, 94, 26, 28, 89, 41, 86, 43, 1, 10, 16, 86, 77, 7, 99, 77, 70, 64] 	 [10, 58, 97, 95, 43, 89, 42, 100, 56, 16, 90, 46, 3, 10, 39, 79, 55, 92, 87, 40, 69, 76, 2, 48, 79, 54, 64, 41, 84, 7, 70, 45, 32, 57, 64, 82, 84, 41, 39, 74, 63, 85, 60, 23, 16, 56, 24, 68, 20, 98, 56, 59, 26, 69, 100, 43, 74, 95, 87, 82, 69, 2, 30, 40, 14, 33, 75, 67, 92, 76, 19, 16, 29, 21, 95, 38, 14, 54, 87, 29, 6, 66, 7, 6, 44, 85, 49, 45, 8, 32, 18, 83, 2, 81, 93, 16, 76, 96, 57, 15] 
